regulator_name,regulator_id,database1,ID1,location1,element_type1,cell_type1,level1,regulated_name,regulated_id,database1,ID2,location2,element_type2,cell_type2,level2,interaction,score,kindscore,matchlevel,epistemicvalue,file_numbers,number,Regulator Variable Name,Regulated Variable Name,PaperID,,
CK2,uaz_UAZ00325,uaz,UAZ00325,,protein,,,Akt,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC5193405,,
CK2,be_CK2,be,Q53GL0,,protein,,,CDC37,uniprot_Q16543,uniprot,Q16543,,protein,,,increases,,,,,,,,,PMC5193405,,
ERK,be_ERK,be,P29323,,family,,,CK2,uaz_UAZ00325,uaz,Q53GL0,,protein,,,increases,,,,,,,,,PMC5193405,,
Bcl2,uniprot_P10415,uniprot,P10415,,protein,,,CD3,be_CD3,be,CD3,,protein,,,increases,,,,,,,,,PMC5193405,,
Bcl2,uniprot_P10415,uniprot,P10415,,protein,,,CD3,be_CD3,be,CD3,,protein,,,increases,,,,,,,,,PMC5193405,,
CD5,uniprot_P06127,uniprot,P06127,,protein,,,CK2,be_CK2,be,Q53GL0,,protein,,,increases,,,,,,,,,PMC5193405,,
CD5,uniprot_P06127,uniprot,P06127,,protein,,,P38,be_p38,be,p38,,family,,,increases,,,,,,,,,PMC5193405,,
P38,be_p38,be,p38,,family,,,CD5,uniprot_P06127,uniprot,P06127,,protein,,,increases,,,,,,,,,PMC5193405,,
PTEN,uniprot_P60484,uniprot,P60484,,protein,,,AKT,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC4712330,,
RAS,pfam_PF00071,pfam,PF00071,,family,,,PTEN,uniprot_P60484,uniprot,P60484,,protein,,,decreases,,,,,,,,,PMC4712330,,
NEDD4,uniprot_P46934,uniprot,P46934,,protein,,,PTEN,uniprot_P60484,uniprot,P60484,,protein,,,decreases,,,,,,,,,PMC4712330,,
P53,uniprot_P04637,uniprot,P04637,,protein,,,PTEN,uniprot_P60484,uniprot,P60484,,protein,,,decreases,,,,,,,,,PMC4712330,,
PI3K,be_PI3K,be,P42336,,protein,,,AKT,be_AKT,be,P31749,,family,,,increases,,,,,,,,,PMC4712330,,
PTEN,uniprot_P60484,uniprot,P60484,,protein,,,AKT,be_AKT,be,P31749,,family,,,decreases,,,,,,,,,PMC4712330,,
PI3K,be_PI3K,be,P42336,,protein,,,PTEN,uniprot_P60484,uniprot,P60484,,protein,,,increases,,,,,,,,,PMC4712330,,
PI3K,be_PI3K,be,P42336,,protein,,,PTEN,uniprot_P60484,uniprot,P60484,,protein,,,decreases,,,,,,,,,PMC4712330,,
AKT,be_AKT,be,P31749,,family,,,TBK1,uniprot_Q9UHD2,uniprot,Q9UHD2,,protein,,,increases,,,,,,,,,PMC4302769,,
